documentID,Category,products_new,Press Platform
188372,Video,[],
370528,Communications,[],
393432,Video,[],
41353,Press Platform,[],
41385,Hardware Solutions,[],
41072,Hardware Solutions,[],
41124,Hardware Solutions,[],
41697,Communications,[],
41769,Communications,[],
43099,Video,[],
50484,Hardware Solutions,[],
57892,Hardware Solutions,[],
60889,Hardware Solutions,[],
60891,Hardware Solutions,[],
45746,Video,[],
66459,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']","all platforms, but it is only enabled on MRP-configured presses"
63597,Software Solutions,[],
63993,Communications,[],
97174,Press Platform,['HP PageWide A2200'],"A2200 pilot DP16 only. In February 2023, it will be available to all HP PWP presses running PCR 6.0.23.02 or later"
97180,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",All presses running PCR5.0.20.06 and above
97214,Communications,[],
118706,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",All presses equipped with DFE 6
118779,Communications,[],
166342,Software Solutions,[],
188291,Hardware Solutions,[],
188293,Hardware Solutions,[],
188296,Hardware Solutions,[],
188301,Hardware Solutions,[],
66775,Press Platform,"['HP PageWide Web Press T4xx', 'HP PageWide Web Press T11xx']", T4xxS and T11XX packaging presses only
66785,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all press platforms running 
66793,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses running PCR 5.0.21.03or later
66961,Video,[],
66962,Video,[],
66966,Video,[],
66967,Video,[],
66968,Video,[],
94675,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses running PCR 6.1.23.04or later
94701,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",allpresses running PCR 5.0.21.05or later
94702,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",feature impacts all presses running PCR 5.0.21.06 or later
95016,Press Platform,['HP PageWide Web Press T2xx'],T2xx presses with the PPD Module installed.
95022,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses running PCR 5.0.21.09 or later
95024,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",All Gen2.5.HP PageWide Web Presses. 
95034,Press Platform,['HP PageWide Web Press T4xx'],T4xx presses
95036,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses beginning with PCR 5.0.22.02
95039,Press Platform,['HP PageWide A2200'],A2200 
95040,Press Platform,['HP PageWide A2200'],"This feature will be available with PC R 6.0.22.12 for the A2200 pilot DP16 only. In February 2023, it will be available to a ll HP PWP presses running PCR 6.0.23.02 or later"
210810,Communications,[],
211067,Video,[],
60716,Hardware Solutions,[],
60717,Hardware Solutions,[],
60884,Hardware Solutions,[],
60885,Hardware Solutions,[],
60887,Hardware Solutions,[],
370529,Press Platform,[],
393422,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",presses running PCR 6.x.24.07or late
308374,Press Platform,"['HP PageWide Web Press T2xx', 'HP PageWide A2200']",T2xx and A2200
