key,value
LF,[' Line filter']
LFT,[' Left']
LIC,"[' Large Ink Can', ' Large Ink cartridge']"
LIC pump,[' Large Ink Can pump']
LIM,[' Limit']
LMP,[' Lamp']
LN,[' Line']
LNK,[' Link']
LPH,"[' LED printing head', ' Laser Printing Head']"
LPI,[' Lines Per Inch']
LTRL,[' lateral']
LUT,[' Look-Up Table']
LVL,[' LEVEL']
MACH,[' Machine']
MBM,[' Automatic bands detector']
MCN,[' Main Control Node']
MCU,"[' Machine Control Unit', ' microcontroller unit']"
MECH,[' Mechanic']
mechinit,[' mechanical initialization']
MEM,[' Memory Extension']
MFP,[' Media fingering']
MFR,[' Middle feed roller']
MIC,"[' Main Ink Control board', ' Master Ink Controller']"
MID,[' Middle']
MLA,[' Monolithic Laser Assembly']
MMI,"[' Man-machine interface (Press Software)', ' Man Machine Interface']"
MNF,"[' Molex Minifit (connector)', ' Molex Minifit']"
MNFD,[' Manifold']
MOP,[' Motor On Press']
MOV,[' moving']
MPCB,[' Motor Protection CB']
MRHC,[' Machine Relative Humidity Control']
MSC,[' Machine Speed Control']
MSDS,[' Material safety data sheets']
MTBF,[' Mean Time Before Fix']
MTC,[' Machine Temperature Control']
MTCRH,[' Machine Temperature Control Relative Humidity']
NAS,[' Network Attached Storage']
NIP,[' NIP']
NLF,[' Near Line Finisher']
NSR,[' Non-Stop Rewinder']
NSU,[' Non-Stop Unwinder']
NVS,"[' Non Volatile Solid', ' Non-Volatile Solid']"
OCB,"[' Optics Connector Board', ' One Codebase']"
OD,[' optical density']
OEE,[' Overall Equipment Effectiveness']
OFIR,[' On press Fast Ink Replacement']
OLS,[' Object length system']
OMP,"[' Operator Maintenance Parts', ' Operator Maintenance Part']"
OPD,"[' On-Press Documentation', ' On Press Documentation']"
OPS,[' Old PIP Syndrome']
OPT,"[' Optic', ' Optional']"
OPERATION,[' Operating']
ORS,[' Oil reuse system']
OVFL,[' overflow']
OW,[' Operating Window']
PCB,[' Printed Circuit Board']
PCKR,[' Packer']
PCN,"[' Paper Control Node', ' Paper Control Node board']"
PDB,"[' Power Distribution Board', '  PDU control board']"
PDU,[' Power Distribution Unit']
PE,[' Printing Engine']
PEEL,"[' Peeling', ' Peeler']"
PEU,[' PIP Enhancement unit']
PFU,[' paper feed unit']
PGR,"[' Pre-Gripper Rotor (PGR)', ' Pre-Gripper Rotor']"
PHC,[' Paper Handling Controller']
PID,"[' Partial Ink Development', ' Proportional-Integral-Derivative', ' Photo-Imaging Drum']"
PIP,[' Printing Imaging Plate']
PITC,[' Peeler Impression Thermal Control']
PLC,[' Programmable Logic Controller']
PLC_PS,[' PLC Power supply']
PLD,[' Polygon Drive Board']
PLT,[' Pilot']
PM,"[' Preventive Maintenance (PM)', ' Preventive Maintenance']"
PMP,[' Pump']
PMR,[' Phase Monitoring Relay']
PNL,[' Panel']
PNT,[' Point']
POS,[' Position']
POT,[' Potentiometer']
ppm,[' part per million']
PQ,[' Print Quality']
PQA,"[' Print Quality Assist', ' Print Quality Assistant']"
PQTSG,[' Print Quality Trouble Shooting Guide']
PQTG,['Print Quality TroubleShooting Guide']
PUW,[' Priming Unwinder']
PPC,[' Preventive Print Care']
PRM,"[' Primer', ' Priming']"
PROP,[' Proportional']
PROX,[' Proximity']
PRS,"[' Pressure', ' Print Run Settings']"
PS,"[' Power supply', ' print system']"
Pst,[' Print Station']
PSTB,[' paper stuck to blanket']
PSTE,[' Post-transfer erase']
PSU,[' Printing Stopped Unexpectedly']
PTC,[' Peeler thermal control']
PTE,"[' Pre-Transfer Erase (PTE)', ' Pre-Transfer Erase (lamp)']"
PTH,[' Pre-Transfer Heater']
PTP,[' Peak To Peak']
PTS,[' paper thickness sensor']
PWM,[' Pulse Width Modulation']
PWP,"[' HP PageWide presses', ' PageWide presses', ' PageWide Web Press']"
PWR,[' Power']
PWS,"[' Priming and web system', ' Priming and Web handling System']"
RA,[' Recycling Agent']
RCD,[' Residual-current device']
RDU,[' Ram extrusion dispersion unit']
REG,[' Registration']
REGL,[' Regulator']
REL,[' Release']
RESVR,[' Reservoir']
RET,[' Resolution Enhancement Technology']
RGT,[' Right']
RI,[' Re-Insertion']
RIB,[' Reverse inspection bridge']
RIO,[' Regenerated Imaging Oil']
RIP,"[' Raster Image Processor', ' Raster Image Processing']"
RIS,"[' Re-Insertion system', ' Reinsertion system']"
RL,"[' Relay', ' Repeat length']"
RMS,[' Root Mean Square']
RMT,[' Remote']
RoHS,[' Restricted of Hazards Substances']
ROI,[' Return On Investment']
ROR,[' Reason Of Replacement']
ROT,[' Rotation']
RPM,[' Remote Production Manager']
RR,[' Rear']
RST,[' Reset']
RTN,[' Return']
RU,[' Relay UPS']
RVLVR,[' Revolver']
RW,[' Rewinder']
SAFE,[' Safe']
SAS,[' solid add system']
SC,[' Suction Cup ']
SCM,[' Suction Cup Margin']
SCN,[' SCAN']
SCNR,[' Scanner']
SCRW,[' Screw']
SEG,[' Segregation']
SEP,[' Separator ']
SERV,[' Service']
SERVICE,[' Services']
SFTY,[' Safety']
SG,[' Silica Gel']
SHFT,[' Shaft']
SHLD,[' Shield']
SHNT_CB,[' Shunt CB']
SIC,"[' Small Ink Can', ' Small Ink cartridge']"
SK,[' Relay Socket']
SLC,[' Safety logic controller']
SLDR,[' SLIDER']
SNS,[' Sensor']
SOS,[' Start Of Scan']
SOSC,[' Start Of Scan Camera']
SPD,[' Speed']
SPLC,[' Splice']
SPLX,[' Simplex']
SPLY,[' Supply']
SPM,"[' Spectrophotometer', ' Spectro Photo Meter']"
SPV,"[' Spare Part', ' Statistical Process Viewer']"
SR,"[' SRL', ' Safety Relay']"
SR1,[' Safety Relay 1']
SR2,[' Safety Relay 2']
SRV,[' Servo']
SSB,[' Stepper Switch Board']
SSC,[' Stepper System Control']
SSIM,[' Structural Similarity']
SSR,"[' Silica pump relay', ' Solid State Relay']"
SSR_CVR,[' SSR Cover']
ST,"[' Station', ' Station ( Beckhoff EL modules)', ' Straight Tip Connector']"
STD,"[' Stepper Drive', ' Stepper Driver']"
STEP,[' Stepper']
STIR,[' Sticky roller system']
STRT,[' START']
SUBST,[' Substrate']
SUCT,[' Suction']
SUP,[' Support']
SW,"[' Switch', ' Software']"
SWF,[' System web feed']
SYS,[' System']
T0,[' Ink Transfer from BID to PIP']
T1,[' Ink Transfer from PIP to Blanket']
T2,[' Ink Transfer from Blanket to Substrate']
TB,[' Terminal block']
TBD,[' To Be Determined']
TCE,[' Total Customer Experience']
TCO,[' Total Cost of Ownership']
TDP,"[' Top Dead Point (TDP)', ' Top Dead Point']"
TE,[' Trailing Edge']
TENS,[' Tension']
TENSNR,[' Tensioner']
TFUSE,[' Thermal Fuse']
THERM,"[' Thermal', ' Thermistor']"
THERMOC,[' THERMOCOUPLE']
TIC,"[' TIC (Tank Ink Controller)', ' Tank Ink Controller']"
TIRS,"[' Temperature Infrared Sensors', ' Temperature Infra Red (system) Sensor']"
TMC,[' TeMperature Control']
TMP,[' Temperature']
TNK,[' TANK']
TREAT,"[' Treater', ' Treatment']"
TRED,"[' Thread', ' Threading']"
TRIG,[' Trigger']
TS,[' Temperature sensor']
TTR,[' Time To Repair']
UC,[' Utility Cabinet']
U/S,[' UltraSonic']
UART,"[' Universal Asynchronous Receiver/Transmitter', ' Universal Asynchronous Receiver', ' Universal Asynchronous Transmitter']"
UCN,"[' Utility Cabinet Node', ' Utillity Cabinet Node', ' utility control node']"
UFI,[' Universal Finisher Interface']
UFIC,"[' Universal Finisher Interface Control Board', ' Universal Finisher Interface Controller']"
UI,"[' GUI', ' User Interface', ' Graphic User Interface']"
UIC,"[' Utility and ink cabinet', ' Utility ink cabinet']"
UNIT,[' Unit']
UP,[' UP']
UPR,[' Upper']
UPS,[' Uninterruptable Power Supply']
USB,[' Universal Serial Bus']
USB_HUB,"[' USB HUB', ' Universal Serial Bus HUB']"
UTK,[' Up Time Kit']
UW,[' Unwinder']
VCC,[' Voltage at the Common Collector']
Vcorn,[' From Video and Unicorn']
VCPR,"[' Vertical Color Plane Registration (VCPR)', ' Vertical Color Plane Registration']"
VDP,"[' Variable Data Prinitng - VDP', ' Variable Data Prinitng']"
VLV,[' Valve']
VOC,[' Volatile Organic Compounds']
WH,"[' writing head (WH)', ' writing head']"
WHIF,"[' Writing Head Interface (WHIF)', ' Writing Head Interface']"
WHS,"[' Web Handling System (WHS)', ' Web Handling System']"
YTD,['Yours Truly Designer']
WEB,[' Web']
WG,['Web Guide']
GUIDE,[' Manual']
WHEL,"[' Writing Head Electronics 24', ' Writing head electronics']"
WHT,[' White']
